Date,Govt,Corp,Equity,Govt,Corp,Equity,
30-Nov-17,100,407.75,5155.44,1,1,1,43069
01-Dec-17,100.27,409.22,5145.21,1.0027,1.00360515,0.998015688,44767
04-Dec-17,100.23,409.55,5139.91,1.0023,1.00441447,0.996987648,
05-Dec-17,100.3,410.1,5120.92,1.003,1.005763335,0.99330416,
06-Dec-17,100.42,410.62,5120.46,1.0042,1.007038627,0.993214934,
07-Dec-17,100.29,409.76,5136.37,1.0029,1.004929491,0.996300995,
08-Dec-17,100.26,409.76,5165.19,1.0026,1.004929491,1.001891206,
11-Dec-17,100.2,409.55,5181.75,1.002,1.00441447,1.005103347,
12-Dec-17,100.17,409.65,5189.96,1.0017,1.004659718,1.00669584,
13-Dec-17,100.43,410.82,5187.68,1.0043,1.007529123,1.006253588,
14-Dec-17,100.44,411.25,5167.45,1.0044,1.008583691,1.002329578,
15-Dec-17,100.45,411.66,5214.1,1.0045,1.009589209,1.011378272,
18-Dec-17,100.29,410.77,5242.28,1.0029,1.007406499,1.016844343,
19-Dec-17,100,409.51,5225.43,1,1.00431637,1.013575951,
20-Dec-17,99.78,408.17,5221.79,0.9978,1.001030043,1.012869901,
21-Dec-17,99.86,408.71,5232.16,0.9986,1.002354384,1.014881368,
22-Dec-17,99.87,408.88,5229.79,0.9987,1.002771306,1.014421659,
26-Dec-17,99.94,409.41,5224.51,0.9994,1.004071122,1.013397499,
27-Dec-17,100.23,411.26,5229.01,1.0023,1.008608216,1.014270363,
28-Dec-17,100.18,411,5239.59,1.0018,1.00797057,1.016322564,
29-Dec-17,100.27,411.57,5212.76,1.0027,1.009368486,1.011118353,
02-Jan-18,100.03,409.94,5256.28,1.0003,1.005370938,1.019559921,
03-Jan-18,100.1,410.38,5289.92,1.001,1.006450031,1.026085067,
04-Jan-18,100.05,410.17,5312.33,1.0005,1.005935009,1.030431932,
05-Jan-18,99.97,410.01,5349.69,0.9997,1.005542612,1.037678646,
08-Jan-18,99.96,410.22,5358.68,0.9996,1.006057633,1.039422435,
09-Jan-18,99.67,408.78,5367.26,0.9967,1.002526058,1.041086697,
10-Jan-18,99.67,409.04,5361.33,0.9967,1.003163703,1.039936455,
11-Jan-18,99.73,409.62,5399.46,0.9973,1.004586143,1.047332526,
12-Jan-18,99.71,409.67,5435.92,0.9971,1.004708768,1.054404668,
16-Jan-18,99.78,410.37,5416.86,0.9978,1.006425506,1.050707602,
